Horse                                                                                                             , Year of Birth, Level, Sire                              , Sire's level, Dam                           , Dam's level
Igor                                                                                                              , 1990         , 110  , Dior                              , 140         , Datouscha                     , 120
Igor                                                                                                              , 1990         , 110  , Notaris                           , 170         , Bayka                         , 120
Igor                                                                                                              , 1990         , 110  , Notaris                           , 170         , Olinda                        , 120
Igor                                                                                                              , 1990         , 110  , Darwin                            , 140         , Beauty                        , 140
Igor                                                                                                              , 1990         , 110  , Saros                             , 110         , Walientje                     , 120
Igor                                                                                                              , 1990         , 110  , Daimler B                         , 145         , Alita                         , 120
Igor                                                                                                              , 1990         , 110  , Rex Magna                         , 110         , Wanda                         , 120
Claude                                                                                                            , 1984         , 110  , Vincent                           , 150         , Ruth                          , 120
Celina-Lavinia Ws                                                                                                 , 2010         , 110  , Carentan                          , 140         , Lavinia                       , 120
Celina 214                                                                                                        , 2011         , 110  , Clarimo ASK                       , 160         , Flora VI                      , 120
Celina-Rilexy                                                                                                     , 2007         , 110  , Tenerife VDL                      , 150         , Rilexy                        , 120
Celina-Bercy                                                                                                      , 1997         , 110  , Calido I                          , 160         , Wild Girl                     , 120
Cornwall D                                                                                                        , 2008         , 110  , Contendro I                       , 120         , Riviera IV                    , 120
Cornwall                                                                                                          , 2007         , 110  , L'Esprit                          , 170         , Paulette                      , 120
Count Me In                                                                                                       , 2007         , 110  , Van Gogh                          , 170         , Fiona                         , 120
After Eight                                                                                                       , 1974         , 110  , Argentan I                        , 110         , Weinbrise                     , 120
Tesorkus (aka: AFTER EIGHT)                                                                                       , 2000         , 110  , C-Indoctro                        , 140         , Elsorka                       , 120
Graf After Eight                                                                                                  , 2003         , 110  , Limmerick                         , 140         , Christmas Carol               , 120
After Eight 22641                                                                                                 , 1980         , 110  , Alpen Fürst 517                   , 110         , Uganda 12443                  , 120
AC Toronto CH (aka: Tornado)                                                                                      , 1994         , 110  , Tocuyo                            , 110         , Ramona                        , 120
"Digno 2 (aka: DANTE, DIGNO)"                                                                                     , 2011         , 110  , De Niro                           , 130         , Maharani                      , 120
Deo Volente Svu (aka: DANTE)                                                                                      , 2008         , 110  , Solied                            , 110         , Rumour                        , 120
Dante Van De Castershoeve                                                                                         , 2009         , 110  , Moujik De Sohan                   , 110         , Delta Roosters Van Betz       , 120
Codex Quinn (aka: CAYADOS)                                                                                        , 2012         , 110  , Cayado                            , 160         , Samira VI                     , 120
Arpeggio's Artax                                                                                                  , 2012         , 110  , Arpeggio                          , 150         , Georgia                       , 140
Ipswich D                                                                                                         , 1990         , 110  , Slaney                            , 110         , Calgary B                     , 120
Solid Gold (aka: SOLID GOLD 3)                                                                                    , 2009         , 110  , Sungold                           , 110         , Kascadina                     , 120
Diamond Aroma                                                                                                     , 1995         , 110  , Aram                              , 110         , Queen of May                  , 120
Coolio 33                                                                                                         , 2009         , 110  , Cornado II                        , 140         , Greta Gabor                   , 120
Clear Coolio                                                                                                      , 2007         , 110  , Clearway                          , 140         , Java IV                       , 120
Garfield                                                                                                          , 2011         , 110  , Lancelot                          , 170         , Priscielona                   , 120
Garfield                                                                                                          , 2011         , 110  , Laurentz                          , 110         , Peronica                      , 120
Garfield                                                                                                          , 1988         , 110  , Zeoliet                           , 110         , Zonate                        , 120
Garfield (aka: GARFIELD 158)                                                                                      , 1986         , 110  , Grand Royal M                     , 110         , Almenzinne                    , 120
Migranta (aka: GARFIELD)                                                                                          , 1994         , 110  , Investment                        , 140         , Bigranta                      , 140
Garfield 256                                                                                                      , 2012         , 110  , Graf Top                          , 110         , Elli                          , 120
Garfield 129                                                                                                      , 1990         , 110  , Gotha                             , 160         , Lolita                        , 120
Garfield Stv                                                                                                      , 1988         , 110  , Uniform                           , 135         , Bernadet                      , 120
Vision Eh (aka: CLAIRE 97)                                                                                        , 2005         , 110  , Cassini II                        , 140         , Graffiti                      , 120
Red Beauty                                                                                                        , 1996         , 110  , Rhytmus S                         , 110         , Lakrima                       , 120
Gaudi Van De Breemeersen                                                                                          , 2006         , 110  , Adorado                           , 170         , Succes E.T. Van De Breemeersen, 120
Quintin (aka: QUINTIN M)                                                                                          , 2011         , 110  , Quintender                        , 150         , Argentina                     , 140
Quintin Van De Laarseheide Z (aka: QUINTIN)                                                                       , 2008         , 110  , Quintessence van de Laarse Heide Z, 110         , Iris                          , 120
Altea De Quintin                                                                                                  , 2010         , 110  , Made In Semilly                   , 140         , Orediams de Quintin           , 140
Quintino Royal Z                                                                                                  , 2018         , 110  , Quabri de L Isle                  , 170         , Dechada                       , 120
Clitschko                                                                                                         , 2002         , 110  , Carnaby GL                        , 110         , F-Cover Girl                  , 120
In Time                                                                                                           , 2013         , 110  , Everdale                          , 100         , Ulocia                        , 120
Dhouble Scoop (aka: DHOUBLE TIME DSS)                                                                             , 2008         , 110  , Don Principe                      , 110         , Senorita                      , 120
Wimpie Texel (aka: QUALITY'S WELL-TIME)                                                                           , 2003         , 110  , Ferro                             , 145         , Jeorieta VDL                  , 120
Gaby Landra (aka: GOLDEN TIMES)                                                                                   , 2011         , 110  , Spartacus TN                      , 160         , Anna Landra                   , 120
Fredje (aka: FULL-TIME)                                                                                           , 2010         , 110  , Arizona                           , 110         , Butterfly                     , 140
Flirt D'Amour (aka: FIRST TIME)                                                                                   , 2006         , 110  , Fidertanz                         , 110         , Wega Weissera                 , 120
Matador                                                                                                           , 1994         , 110  , Equador                           , 140         , Josini                        , 120
Matador                                                                                                           , 1994         , 110  , Ekstein                           , 140         , Hierebe                       , 120
Matador                                                                                                           , 1994         , 110  , Corleone                          , 170         , Faboca                        , 120
Matador                                                                                                           , 1994         , 110  , Gentleman                         , 170         , Daisy                         , 120
Matador (aka: MATADOR III CH)                                                                                     , 1989         , 110  , unknown                           , 110         , Natacha                       , 120
Leviathan (aka: LE-MATADOR)                                                                                       , 1993         , 110  , Matador                           , 170         , Elvera                        , 120
Maurice                                                                                                           , 1994         , 110  , Faldo                             , 140         , Prinses                       , 120
"Maurice (aka: MONTIGNAC, MONTY)"                                                                                 , 1994         , 110  , Hofnar                            , 120         , Debora                        , 120
Maurice                                                                                                           , 1994         , 110  , Faram                             , 140         , Beaurina                      , 120
Don Maurice                                                                                                       , 1996         , 110  , Don Juan                          , 170         , Wendula                       , 120
Boegely'S Mauricio                                                                                                , 1995         , 110  , Michellino                        , 110         , Sondervangs Mazurka           , 120
City Of Amsterdam                                                                                                 , 2000         , 110  , Carolus I                         , 140         , Hasar                         , 120
Chipping Amsterdam                                                                                                , 2005         , 110  , Colander                          , 120         , First Love                    , 120
Amsterdam N                                                                                                       , 2018         , 110  , Askari                            , 170         , Venezuela N                   , 120
Nashville                                                                                                         , 1995         , 110  , Zeoliet                           , 110         , Eladina                       , 120
Nashville                                                                                                         , 1995         , 110  , Caridor                           , 120         , Jodaza                        , 120
Nashville                                                                                                         , 1995         , 110  , Haarlem                           , 110         , Veronica                      , 120
Nashville                                                                                                         , 1995         , 110  , Donnerschlag                      , 110         , Chateau                       , 120
Nashville                                                                                                         , 1995         , 110  , Eusebio                           , 130         , Jasmijn                       , 120
Nashville                                                                                                         , 1995         , 110  , Iglesias                          , 120         , Tamonia                       , 120
Nashville                                                                                                         , 1995         , 110  , Houston                           , 120         , Ironia                        , 120
"Niels (aka: NASHVILLE, STABLEMATE'S NAKED GUN)"                                                                  , 1995         , 110  , Goodwill                          , 150         , Zamora                        , 120
Castino Sr (aka: NASHVILLE 82)                                                                                    , 2013         , 110  , Castelan                          , 120         , Tansania III                  , 120
Maximus                                                                                                           , 2002         , 110  , For Pleasure                      , 170         , Miss Mainow                   , 120
Maximus                                                                                                           , 1994         , 110  , Erato                             , 140         , Enola                         , 120
Maximus                                                                                                           , 1994         , 110  , Zuidhorn                          , 110         , Hananta                       , 120
Get In Touch (aka: Maximus Logue)                                                                                 , 1995         , 110  , Phone Trick                       , 110         , Consenting Lady               , 120
Maximus de Levee                                                                                                  , 2017         , 110  , Heart Touch                       , 140         , Woradiella                    , 120
Jewel Princess Maximus                                                                                            , 2014         , 110  , Contendro I                       , 120         , L.Princesulis                 , 120
Casey                                                                                                             , 2007         , 110  , Atlantic VDL                      , 160         , Umilion                       , 120
Dan Doolittle                                                                                                     , 2005         , 110  , Dr.Doolittle                      , 100         , Feona                         , 120
Doolittle 121                                                                                                     , 2004         , 110  , Dr.Doolittle                      , 100         , Walzerkoenigin                , 120
Dr. Doolittle                                                                                                     , 2002         , 110  , De Niro                           , 130         , Anaconda                      , 120
Doolittle Lady 2                                                                                                  , 2001         , 110  , De Niro                           , 130         , Wienerin                      , 140
Doc Doolittle                                                                                                     , 2001         , 110  , Donatelli I                       , 110         , Wedora                        , 120
"Holy Moley 2 (aka: Holy, Holy Moley)"                                                                            , 2004         , 110  , Houston                           , 120         , Stand By Me                   , 120
Coldplay 45                                                                                                       , 2013         , 110  , Centurion                         , 150         , O-caretina                    , 120
Velvet Coldplay                                                                                                   , 2007         , 110  , Velvet Revolver                   , 110         , Within Temptation             , 120
Garant                                                                                                            , 2011         , 110  , unknown                           , 110         , Sybersinaa                    , 120
Garant                                                                                                            , 1988         , 110  , Boreas                            , 140         , Amora                         , 120
Garant                                                                                                            , 1988         , 110  , Zeno                              , 140         , Anoek                         , 120
Garant                                                                                                            , 1988         , 110  , Amethist                          , 140         , Bobbelien                     , 120
Garant                                                                                                            , 1988         , 110  , Swap                              , 110         , Tinie                         , 120
Gina H (aka: GARANTIE)                                                                                            , 2004         , 110  , Aletto                            , 110         , Granja                        , 120
Garante Palousa La Belle (aka: BELLE)                                                                             , 2011         , 110  , Voice                             , 130         , Palousa Caprice               , 120
Berlinda                                                                                                          , 2006         , 110  , United                            , 170         , Mora                          , 120
Berlinda                                                                                                          , 1983         , 110  , Fürst Ferdinand                   , 110         , Viejanea                      , 120
Quintini Bh                                                                                                       , 2010         , 110  , Quintero                          , 170         , Nordlicht V                   , 120
Babaloub Du VI                                                                                                    , 2007         , 110  , Babalouba                         , 140         , Monday Du VI                  , 120
Babalouska                                                                                                        , 2006         , 110  , Hold Up Premier                   , 140         , Simone                        , 120
Hotspot                                                                                                           , 2012         , 110  , Namelus R                         , 140         , Wicklow                       , 120
Hotspot (aka: HOTSPOT 9)                                                                                          , 2007         , 110  , Blue Hors Hotline                 , 110         , Schwarze Rose                 , 120
Golden Lady                                                                                                       , 1993         , 110  , Graf Grannus                      , 100         , Latina                        , 120
Golden Lady Van De Moskifarm                                                                                      , 2012         , 110  , Doree van de Moskifarm            , 140         , Kristal V.D.Ruitershoeve      , 120
Truman                                                                                                            , 1977         , 110  , Unikum                            , 110         , Trolla                        , 120
Brighton (aka: BRIGHTON 12)                                                                                       , 2013         , 110  , Bretton Woods                     , 110         , Bonnie                        , 140
Brighton                                                                                                          , 2009         , 110  , Breitling W                       , 110         , Romina                        , 120
Brighton Rock                                                                                                     , 2006         , 110  , Namelus R                         , 140         , Lavant                        , 120
Brighton C                                                                                                        , 2006         , 110  , Krack C                           , 110         , Iriska                        , 120
Vapriati Van Het Steentje (aka: VAPRIATI VH STEENTJE)                                                             , 2002         , 110  , Regilio                           , 130         , Freja                         , 120
Schau Mer' Mal (aka: SHIRLEY TEMPLE 2)                                                                            , 2008         , 110  , Sir Donnerhall I                  , 110         , Donna Medici                  , 120
C.Amelusina R13 (aka: CELIA COREIN)                                                                               , 2007         , 110  , Rubert R                          , 110         , Eamelusiena                   , 150
E.Amelusina R 62                                                                                                  , 2009         , 110  , V Alba R                          , 110         , Eamelusiena                   , 150
Carlson 84                                                                                                        , 2007         , 110  , Caretino                          , 170         , Holiday                       , 120
Carlson 73                                                                                                        , 2005         , 110  , Claudio                           , 140         , Landfee                       , 120
Carlson Kc                                                                                                        , 2002         , 110  , Charon                            , 150         , Ladina Kc                     , 120
U-Quite Nice (aka: QUITE CAPITOL'S QUITE NICE)                                                                    , 2004         , 110  , Quite Capitol                     , 140         , Zylla                         , 120
Champion (aka: STEENDIEK&s;S CON CAPITOL)                                                                         , 2003         , 110  , Constantin                        , 170         , Immaculada                    , 120
Carpe Diem (aka: CAPRIOLE'S CARPE DIEM)                                                                           , 2007         , 110  , Quite Capitol                     , 140         , Modinka                       , 120
Evert                                                                                                             , 1986         , 110  , Zuidpool                          , 160         , Sally                         , 120
Evert                                                                                                             , 1986         , 110  , Triton                            , 170         , Olandiena                     , 120
Evert                                                                                                             , 1986         , 110  , Vicomte Grandieux                 , 110         , Toscane                       , 120
Evert                                                                                                             , 1986         , 110  , Samber                            , 120         , Zennie                        , 120
Evert (Elrubio) (aka: ELRUBIO)                                                                                    , 1986         , 110  , Zevenster                         , 140         , Vera                          , 120
Cupcake Bs (aka: CASALL BS)                                                                                       , 2011         , 100  , Casall ASK                        , 170         , Wiona Bs                      , 130
Cardento                                                                                                          , 2007         , 100  , Painted Black I                   , 100         , Gose                          , 130
El Cardento                                                                                                       , 2009         , 100  , Cardento                          , 170         , Jofemke                       , 130
Verdi                                                                                                             , 2002         , 100  , Numero Uno                        , 150         , Larosca                       , 110
Verdi                                                                                                             , 2002         , 100  , Nassau                            , 170         , Tanja                         , 140
Verdi (aka: VULCANO)                                                                                              , 2002         , 100  , Highline                          , 100         , Nikita                        , 150
Verdi                                                                                                             , 2002         , 100  , Stravinsky                        , 140         , Residensie                    , 130
Verdi                                                                                                             , 2002         , 100  , Rousseau                          , 140         , Edoryke                       , 130
Verdi                                                                                                             , 2002         , 100  , Osmium                            , 100         , Nancy                         , 140
Bianca (aka: BERLINI)                                                                                             , 2006         , 100  , UB-40                             , 100         , Nouschka                      , 170
Ein Berliner Fortuna                                                                                              , 2009         , 100  , unknown                           , 100         , Wolavsca Fortuna              , 130
Emporio Diarado Svg                                                                                               , 2009         , 100  , Diarado                           , 170         , Sue Ellen                     , 120
Diarado Deluxe                                                                                                    , 2015         , 100  , Don Diarado                       , 160         , Sunshine Reggae               , 100
Balouette du Rouet                                                                                                , 2009         , 100  , Balou du Rouet                    , 150         , Giovanna                      , 140
For Pleasure                                                                                                      , 2010         , 100  , Bustique                          , 140         , Cuby Z                        , 130
Heartbreaker                                                                                                      , 2007         , 100  , Cartier van de Heffinck           , 140         , Beauty                        , 140
Heartbreaker                                                                                                      , 1989         , 100  , Beaujolais                        , 140         , Dreamstar                     , 130
Indoctro.Z                                                                                                        , 2000         , 100  , Inspekteur                        , 100         , Nouscha                       , 110
Quick Star                                                                                                        , 2001         , 100  , Dream of Glory                    , 120         , Lady Sunshine                 , 140
Natiindia Trapiche (aka: DINASTIA DARCO TRAPICHE)                                                                 , 2014         , 100  , Darco SH                          , 100         , Dinastia Trapiche             , 130
Elton D'arco Ter Linden                                                                                           , 2004         , 100  , Darco                             , 170         , Tatouage d'Avontuur           , 145
GK Checker                                                                                                        , 2007         , 100  , Clarimo ASK                       , 160         , Olympia                       , #N/A
Checker 74                                                                                                        , 2013         , 100  , Christian                         , 160         , Fabella                       , 110
Dax Van Boshoven                                                                                                  , 2003         , 100  , Saros van 't Gestelhof            , 100         , Seronda Van Den Dries         , 130
Easy                                                                                                              , 2009         , 100  , Tangelo van de Zuuthoeve          , 150         , Angel                         , 140
Easy                                                                                                              , 1999         , 100  , Ehrentusch                        , 100         , Moonlight                     , 170
Easy                                                                                                              , 1986         , 100  , Saros                             , 110         , Sinette                       , 120
Chainfood Exception (aka: EASY PLEASURE)                                                                          , 2009         , 100  , Wynton                            , 100         , Wozette                       , 130
Glamour Girl                                                                                                      , 2011         , 100  , Astrello                          , 120         , Unity                         , 140
Glamour Girl                                                                                                      , 2011         , 100  , Zorro                             , 170         , Tativa-Nyke                   , 130
Glamour-Girl                                                                                                      , 1994         , 100  , Glorieux                          , 140         , Fuerbitte                     , 130
Helsinki (aka: HOLLYWOOD PK)                                                                                      , 2012         , 100  , Blue Hors Hotline                 , 100         , Franziska                     , 170
Dagny Hf                                                                                                          , 2004         , 100  , Der Lord                          , 140         , Rafina                        , 130
Landone                                                                                                           , 1999         , 100  , Lanciano                          , 170         , Radone                        , 130
Caipirinha                                                                                                        , 2001         , 100  , Carbid                            , 120         , Sevita                        , 140
Caipirinha                                                                                                        , 1996         , 100  , Carbid                            , 120         , Aquarel                       , 120
Camposanto'S Caipirinha (aka: TH CONRAD)                                                                          , 2012         , 100  , Camposanto                        , 140         , Wallaby I                     , 110
Castiel 2                                                                                                         , 2010         , 100  , Chico's Boy                       , 100         , Aemeli                        , 110
Christina                                                                                                         , 1984         , 100  , John U To Berry                   , 100         , Torsina                       , 130
Cutopia C (aka: CHRISTINA)                                                                                        , 2007         , 100  , Johnson                           , 135         , Sutopia                       , 130
Jaja                                                                                                              , 2014         , 100  , First Promise                     , 100         , Vanity                        , 130
Clarity                                                                                                           , 2010         , 100  , Chap I                            , 140         , Rosita                        , 170
Roy Clarity                                                                                                       , 2004         , 100  , Royaldik                          , 100         , Cleopatra De La Toya          , 130
Billy Calypso (aka: CALLAHO BILLY CALYPSO)                                                                        , 2009         , 100  , Benicio                           , 100         , Cremona L                     , 120
Equinox de Chalusse (aka: Callaho's Equinox)                                                                      , 2014         , 100  , Numero Uno                        , 150         , Prune de Chalusse             , 130
Hamilton                                                                                                          , 2012         , 100  , Tango                             , 140         , Nevada                        , 130
Hamilton                                                                                                          , 2012         , 100  , Chippendale                       , 140         , Isabel                        , 130
Hamilton                                                                                                          , 2012         , 100  , Apache                            , 170         , Vowendy                       , 130
Hamilton                                                                                                          , 2012         , 100  , Cassini Gold                      , 140         , Viniki                        , 130
Hamilton                                                                                                          , 2002         , 100  , Highlight                         , 170         , Odessa                        , 135
Hamilton                                                                                                          , 2001         , 100  , Perpignon                         , 100         , La Belle                      , 140
Hamilton                                                                                                          , 1998         , 100  , Sixtus                            , 170         , High Fidelity                 , 130
Hamilton                                                                                                          , 1989         , 100  , Naturel                           , 170         , Dursalien                     , 130
Hamilton                                                                                                          , 1989         , 100  , Daimler B                         , 145         , Amora                         , 120
Django Di Alma Terra                                                                                              , 2014         , 100  , Velasko                           , 100         , Gucera                        , 130
Django De La Besace                                                                                               , 2013         , 100  , Califa Ls                         , 170         , Gipsy De Breotiere            , 130
Ace of Hearts                                                                                                     , 2001         , 100  , As de Thurin                      , 140         , Amour                         , 130
Ace of Hearts                                                                                                     , 1999         , 100  , Herzzauber                        , 100         , Tessa                         , 130
Jessie Lane (aka: GEMMAIRE)                                                                                       , 1991         , 100  , Equador                           , 140         , Diminie                       , 130
Gemma Del Giudicato                                                                                               , 2002         , 100  , Corland                           , 160         , Zorea                         , 130
Cristel                                                                                                           , 1984         , 100  , Naturel                           , 170         , Odina50                       , 130
Cristel                                                                                                           , 1984         , 100  , Symfonie                          , 170         , Thanja                        , 130
Cristell                                                                                                          , 1994         , 100  , Rastell 782                       , 140         , Cox Orange                    , 130
Skelton  Romeo                                                                                                    , 2006         , 100  , Hurstwood Romeo                   , 100         , Grants Topsy                  , 130
Romeo                                                                                                             , 2004         , 100  , Rocket Star                       , 140         , Play Girl                     , 130
Romeo (aka: ROMEO 626)                                                                                            , 2001         , 100  , Riccione                          , 100         , Filipana                      , 130
Romeo                                                                                                             , 1997         , 100  , Rohdiamant                        , 100         , Modika                        , 130
Romeo                                                                                                             , 1996         , 100  , Ravallo                           , 120         , Grace                         , 130
Romeo                                                                                                             , 1996         , 100  , Royal de Saxe                     , 100         , Istella                       , 130
Romeo                                                                                                             , 1994         , 100  , Lawrence                          , 140         , Govinja vh Schuttershof       , 130
Josephina Tv (aka: CHICK ON A MISSION)                                                                            , 2007         , 100  , Zephyrus J                        , 100         , Zamira L                      , 130
Centucky (aka: CHICAGO 174)                                                                                       , 2010         , 100  , Christ                            , 140         , Dakona                        , 130
Zenzi (aka: PAPA CHICO)                                                                                           , 2004         , 100  , C-Indoctro                        , 140         , Jacolien                      , 130
Vokee (aka: CHICA B)                                                                                              , 2002         , 100  , Obelisk                           , 140         , Okee                          , 130
