Horse                                                                                                             , Year of Birth, Level, Sire                              , Sire's level, Dam                           , Dam's level
Coolio                                                                                                            , 1998         , 170  , Chasseur I                        , 170         , Whisperin B                   , 150
Ladriano Z                                                                                                        , 2008         , 170  , Lawito                            , 140         , Gambelle                      , 150
Garfield 016                                                                                                      , 1979         , 170  , Grannus                           , 150         , Harnett                       , 150
Claire Z (aka: Claire)                                                                                            , 2008         , 170  , Clearway                          , 140         , Colessa Z                     , 150
Nico H (aka: CHANTE CLAIR NICO H)                                                                                 , 1995         , 170  , Jus de Pomme                      , 170         , Rosalinda                     , 150
Beautiful Red                                                                                                     , 2009         , 170  , Casall ASK                        , 170         , Ulla G                        , 150
Vintadge De La Roque                                                                                              , 2009         , 170  , Kannan                            , 160         , Dody de Chalusse              , 150
Quintair (aka: BONFIRE)                                                                                           , 2010         , 170  , Quintero                          , 170         , Vaikiki                       , 150
Carl-Heinz B.                                                                                                     , 2012         , 170  , Chacco-Blue                       , 160         , Quicky                        , 150
White Gate                                                                                                        , 1979         , 170  , Darantus                          , 170         , unknown                       , 150
"Quintin (aka: FIRST KNIGHT VT, FIRST KNIGHT VT)"                                                                 , 2010         , 170  , Quaprice Bois Margot              , 140         , Thamara                       , 150
Quintin                                                                                                           , 1993         , 170  , Heartbreaker                      , 160         , Nyagara                       , 150
Linkolns                                                                                                          , 2007         , 170  , Louis J                           , 170         , Konga                         , 150
"Barry White 3 (aka: BARRY WHITE, BIG TIME)"                                                                      , 2006         , 170  , Twisther                          , 140         , Ifordina                      , 150
Sebastian (aka: TIMES DE GRANVAL)                                                                                 , 2007         , 170  , Lucky Boy                         , 140         , Arthemise De Cheux            , 150
Hopeful (aka: SENATOR BIG TIME)                                                                                   , 1989         , 170  , Bonheur                           , 170         , Upolda                        , 150
Matador (aka: VALENTIJN)                                                                                          , 2002         , 170  , C-Indoctro                        , 140         , Rimora                        , 150
Investment (aka: REBEL REX)                                                                                       , 1990         , 170  , Ahorn                             , 140         , Berenice                      , 150
"Desiree Van Het Westuur (aka: DESIREE VAN WESTUUR, EQUI-INVEST'S DESIREE VAN WESTUUR)"                           , 2003         , 170  , Toulon                            , 160         , Amina Van Westuur             , 150
"Warno (aka: OPTIEBEURS INVESTMENT, WESTFALIA COMMERCIAL)"                                                        , 1980         , 170  , Farn                              , 170         , Resijgje                      , 150
Kannabis Van De Bucxtale                                                                                          , 2010         , 170  , Contact Van De Heffinck           , 170         , Odile De Haar                 , 150
Maximus                                                                                                           , 1997         , 170  , Andiamo                           , 150         , Iron Lady                     , 150
Maximus                                                                                                           , 1996         , 170  , Heartbreaker                      , 160         , unknown                       , 150
Dolinn                                                                                                            , 2008         , 170  , Cardento                          , 170         , Olinn                         , 150
Emmerton                                                                                                          , 2009         , 170  , Silvio I                          , 140         , Artuna                        , 150
Emmerton                                                                                                          , 2009         , 170  , Verdi TN                          , 170         , Thura                         , 150
"Emmerton VDL (aka: Emmerton, Raldolala, VDL Emmerton)"                                                           , 1998         , 170  , Emilion                           , 140         , Lersinaa                      , 150
Casey (aka: UUR U)                                                                                                , 2001         , 170  , Ircolando                         , 170         , Lynn                          , 150
Gl Events Dolce Deceuninck (aka: DOLCE DECEUNINK)                                                                 , 2009         , 170  , Toulon                            , 160         , Fleur Deceuninck              , 150
Vinci De Beaufour                                                                                                 , 2009         , 170  , Diamant de Semilly                , 170         , Uvelle                        , 150
Belano VD Wijnhoeve Z                                                                                             , 2009         , 170  , Berlin                            , 140         , Wynona Van De Donkhoeve       , 150
Coldplay 31                                                                                                       , 2009         , 170  , Cassini II                        , 140         , Pirola                        , 150
Bingo Du Parc                                                                                                     , 2011         , 170  , Mylord Carthago                   , 170         , Tsigane Semilly               , 150
Amica I (aka: Cheppetta)                                                                                          , 2008         , 170  , Chepetto                          , 170         , My Cash                       , 150
Babalou Amor                                                                                                      , 2004         , 170  , Baloubet du Rouet                 , 170         , unknown                       , 150
Babalou F                                                                                                         , 2012         , 170  , Balous Bellini                    , 120         , Nora                          , 150
Truman                                                                                                            , 1983         , 170  , Traunstein                        , 170         , Lania                         , 150
Hello Mr President  (aka: Comme d'Api Junior Eez)                                                                 , 2009         , 170  , Comme d'Api vd Hacienda Z         , 170         , Pirouette                     , 150
Brighton (aka: BEEGIEN SFN)                                                                                       , 2006         , 170  , Contendro II                      , 140         , Vaned                         , 150
H5 Just The Music (aka: SEA COAST JUST THE MUSIC)                                                                 , 2009         , 170  , Tornado FCS                       , 150         , Fortis Fortuna                , 150
DM Jacqmotte                                                                                                      , 2009         , 170  , Toulon                            , 160         , Ummy                          , 150
"Udor (aka: GRAND FILOU, U.AMELUSINA 60, UDOR R)"                                                                 , 2001         , 170  , Germus R                          , 170         , P.amelusiena 5                , 150
Artiflex R (aka: A.AMELUSINA 53)                                                                                  , 2005         , 170  , C-Indoctro                        , 140         , U.Amelusina 8                 , 150
Bobby (aka: V.AMELUSINA 60)                                                                                       , 2002         , 170  , Concorde                          , 170         , Eamelusiena                   , 150
James VD Oude Heihoef (aka: JAMES VAN DE OUDE HEIHOEF)                                                            , 2009         , 170  , Douglas                           , 150         , Nlf Favorite                  , 150
Cape Coral                                                                                                        , 2010         , 170  , Comme il faut                     , 160         , Franzi                        , 150
Carlson Vom Dach                                                                                                  , 2001         , 170  , Cento                             , 170         , Klivia                        , 150
Carlson 93                                                                                                        , 2008         , 170  , Contendro I                       , 120         , Sydney 226                    , 150
"Carlson 46 (aka: CARLSON, UTOPIE)"                                                                               , 2001         , 170  , Casco                             , 170         , Porette                       , 150
"Calaro (aka: CALARO 5, CAPITAL ONE)"                                                                             , 2002         , 170  , Cardenio                          , 150         , Genua                         , 150
Psg Petit Prince (aka: AL CAPONE TM)                                                                              , 2001         , 170  , Acobat II                         , 170         , Contessina                    , 150
Cochella (aka: VENEDIG II)                                                                                        , 2005         , 170  , Cartani                           , 160         , Havana I                      , 150
Evert                                                                                                             , 2009         , 170  , Amadeus                           , 170         , Annabel                       , 150
Evert (aka: CROWN ROYAL LEGATO)                                                                                   , 1986         , 170  , Jasper                            , 170         , Zolonka                       , 150
Crown Royal Legato (aka: Evert)                                                                                   , 1986         , 170  , Jasper                            , 170         , Zolonka                       , 150
Chance Ste-Hermelle (aka: Chance Ste Hermelle)                                                                    , 2008         , 170  , Calvaro                           , 170         , Nancy                         , 140
Chacco-Blue (aka: Chacco Blue)                                                                                    , 1998         , 160  , Chambertin                        , 140         , Contara                       , 140
"Kannan (aka: Kanaan, Kannan 2, Kannan GFE)"                                                                      , 1992         , 160  , Voltaire                          , 170         , Cemeta                        , 130
Brustor Boy Of Kannan                                                                                             , 2001         , 160  , Kannan                            , 160         , Evita                         , 170
Toulon                                                                                                            , 1996         , 160  , Heartbreaker                      , 160         , Nikita                        , 150
Le Reve De Nabab                                                                                                  , 1995         , 160  , Nabab de Reve                     , 170         , Valerie Du Mont D'Argile      , 130
Catwalk Harry (aka: Bens Star Verdi)                                                                              , 2009         , 160  , Verdi TN                          , 170         , Bens Star                     , 145
Heartbreaker                                                                                                      , 1989         , 160  , Nimmerdor                         , 170         , Bacarole                      , 160
Durango VDL (aka: DARCO BLEU)                                                                                     , 2008         , 160  , Zirocco Blue VDL                  , 170         , Narona                        , 120
Darco Van Het Dennehof                                                                                            , 2009         , 160  , Darco                             , 170         , unknown                       , 150
Forever D'arco Ter Linden                                                                                         , 2005         , 160  , Darco                             , 170         , Tatouage d'Avontuur           , 145
Mr Blue Sky Uk                                                                                                    , 2009         , 160  , Chacco-Blue                       , 160         , Docenta                       , 145
Mr Blue (aka: Mr. Blue)                                                                                           , 1988         , 160  , Couperus                          , 160         , Acarla                        , 145
Confu                                                                                                             , 2007         , 160  , Contact Me                        , 150         , Riga II                       , 145
Checker 47 (aka: Checker)                                                                                         , 2010         , 160  , Comme il faut                     , 160         , Pamina                        , 170
Dzara Dorchival                                                                                                   , 2013         , 160  , Qlassic Bois Margot               , 170         , Rieke 63                      , 140
Creedance                                                                                                         , 2007         , 160  , Lord Z                            , 140         , Camantha                      , 145
"California 19 (aka: CARRICK 16, CORNETS)"                                                                        , 2009         , 160  , Cornet's Prinz                    , 140         , Grannus Girl                  , 145
